Unit ID,Institution,Year,Major Number,Degree Group,Award Level,CIP Code,CIP Title,Total Completions
151351,Indiana University-Bloomington,2024,First major,Associates,Associate's degree,10,Communications Technologies/Technicians and Support Services,0
151351,Indiana University-Bloomington,2024,First major,Associates,Associate's degree,47,Mechanic and Repair Technologies/Technicians,0
151351,Indiana University-Bloomington,2024,First major,Associates,Associate's degree,52,"Business, Management, Marketing, and Related Support Services",0
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,03,Natural Resources and Conservation,76
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,04,Architecture and Related Services,24
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,05,"Area, Ethnic, Cultural, Gender, and Group Studies",15
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,09,"Communication, Journalism, and Related Programs",453
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,10,Communications Technologies/Technicians and Support Services,17
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,11,Computer and Information Sciences and Support Services,443
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,13,Education,266
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,14,Engineering,34
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,16,"Foreign Languages, Literatures, and Linguistics",83
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,19,Family and Consumer Sciences/Human Sciences,70
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,23,English Language and Literature/Letters,49
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,24,"Liberal Arts and Sciences, General Studies and Humanities",196
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,26,Biological and Biomedical Sciences,658
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,27,Mathematics and Statistics,43
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,29,Military Technologies and Applied Sciences,19
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,30,Multi/Interdisciplinary Studies,43
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,31,"Parks, Recreation, Leisure, Fitness, and Kinesiology",496
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,38,Philosophy and Religious Studies,19
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,40,Physical Sciences,77
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,42,Psychology,362
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,43,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",85
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,44,Public Administration and Social Service Professions,379
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,45,Social Sciences,325
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,50,Visual and Performing Arts,349
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,51,Health Professions and Related Programs,264
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,52,"Business, Management, Marketing, and Related Support Services",2444
151351,Indiana University-Bloomington,2024,First major,Bachelors,Bachelor's degree,54,History,51
151351,Indiana University-Bloomington,2024,First major,Graduate,Doctor's degree - research/scholarship,03,Natural Resources and Conservation,3
151351,Indiana University-Bloomington,2024,First major,Graduate,Doctor's degree - research/scholarship,05,"Area, Ethnic, Cultural, Gender, and Group Studies",9
151351,Indiana University-Bloomington,2024,First major,Graduate,Doctor's degree - research/scholarship,09,"Communication, Journalism, and Related Programs",4
151351,Indiana University-Bloomington,2024,First major,Graduate,Doctor's degree - research/scholarship,11,Computer and Information Sciences and Support Services,17
151351,Indiana University-Bloomington,2024,First major,Graduate,Doctor's degree - research/scholarship,13,Education,95
151351,Indiana University-Bloomington,2024,First major,Graduate,Doctor's degree - research/scholarship,14,Engineering,13
151351,Indiana University-Bloomington,2024,First major,Graduate,Doctor's degree - research/scholarship,16,"Foreign Languages, Literatures, and Linguistics",32
151351,Indiana University-Bloomington,2024,First major,Graduate,Doctor's degree - research/scholarship,22,Legal Professions and Studies,9
