unitid,institution,cipcode,major_number,award_level_code,award_count_total,award_level_name,degree_group,cip2,cip2_title,cip6_title,is_cip6
110662,University of California-Los Angeles,3.0104,1,5,126,Bachelors,Bachelors,03,NATURAL RESOURCES AND CONSERVATION.,Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,3.0104,1,17,4,Doctoral (Research/Scholarship),Graduate,03,NATURAL RESOURCES AND CONSERVATION.,Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,4.0201,1,5,17,Bachelors,Bachelors,04,ARCHITECTURE AND RELATED SERVICES.,Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,4.0201,1,7,1,Masters,Graduate,04,ARCHITECTURE AND RELATED SERVICES.,Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,4.0201,1,17,0,Doctoral (Research/Scholarship),Graduate,04,ARCHITECTURE AND RELATED SERVICES.,Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,4.0201,2,5,3,Bachelors,Bachelors,04,ARCHITECTURE AND RELATED SERVICES.,Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,4.0301,1,7,81,Masters,Graduate,04,ARCHITECTURE AND RELATED SERVICES.,Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,4.0301,1,17,3,Doctoral (Research/Scholarship),Graduate,04,ARCHITECTURE AND RELATED SERVICES.,Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,4.0902,1,7,68,Masters,Graduate,04,ARCHITECTURE AND RELATED SERVICES.,Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0101,1,7,6,Masters,Graduate,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0103,1,5,22,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0103,2,5,1,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0104,1,5,1,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0104,1,7,8,Masters,Graduate,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0106,1,5,1,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0107,1,5,1,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0107,1,7,4,Masters,Graduate,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
